Id,Publication_Month_Year,MainCategory_Id,MainCategory,SubCategory_Id,SubCategory,BR,DAWN,DT,ET,NAT,NEWS,PT,GrandTotal
10018535,Feb-23,2,Commercial,13,ROP,0,108,0,22456,0,0,0,22564
10018535,Mar-23,2,Commercial,13,ROP,0,0,0,20265,0,0,0,20265
10018535,Jan-23,2,Commercial,13,ROP,0,0,0,20020,0,0,0,20020
10018535,Nov-23,2,Commercial,13,ROP,0,0,0,19440,0,0,0,19440
10018535,Feb-24,2,Commercial,13,ROP,0,0,0,18396,0,0,0,18396
10018535,Jan-24,2,Commercial,13,ROP,0,0,0,17556,0,0,0,17556
10018535,Apr-23,2,Commercial,13,ROP,0,0,0,17184,0,0,0,17184
10018535,Dec-23,2,Commercial,13,ROP,0,0,0,17152,0,0,0,17152
10018535,Aug-23,2,Commercial,13,ROP,0,0,0,16488,0,0,0,16488
10018535,Sep-23,2,Commercial,13,ROP,0,0,0,16320,0,0,0,16320
10018535,Oct-23,2,Commercial,13,ROP,0,0,0,16290,0,0,0,16290
10021641,Aug-23,1,Government,5,INF-KRY,0,5184,0,5184,0,5184,0,15552
10018535,Jun-23,2,Commercial,13,ROP,0,0,0,15208,0,0,0,15208
10018535,Dec-22,2,Commercial,13,ROP,0,0,0,14588,0,0,0,14588
713,Nov-22,20000001,Government Commercial,10000128,PID(K),0,6846,0,2404,0,4363,0,13613
10018535,Jul-23,2,Commercial,13,ROP,0,0,0,13560,0,0,0,13560
10018535,Sep-22,2,Commercial,13,ROP,0,0,0,13540,0,0,0,13540
10018535,May-23,2,Commercial,13,ROP,0,0,0,13380,0,0,0,13380
10028160,Feb-22,2,Commercial,18,BUILDERS,0,6840,0,0,0,6480,0,13320
1683,Aug-23,1,Government,2,PID(I),0,944,0,4852,0,7172,0,12968
10018535,Apr-22,2,Commercial,13,ROP,0,0,0,12876,0,0,0,12876
1683,Jan-24,1,Government,2,PID(I),0,1818,0,6700,0,4289,0,12807
4926,Nov-22,1,Government,10000164,SPL,0,5832,0,4860,0,2052,0,12744
1575,Sep-22,1,Government,2,PID(I),0,5415,0,2362,0,4890,0,12667
10013182,Dec-22,2,Commercial,18,BUILDERS,0,10692,0,1944,0,0,0,12636
4927,Mar-22,1,Government,2,PID(I),0,5543,0,6696,0,324,0,12563
10018535,Nov-22,2,Commercial,13,ROP,0,0,0,12429,0,0,0,12429
10018535,Oct-22,2,Commercial,13,ROP,0,0,0,12257,0,0,0,12257
10018461,Apr-22,1,Government,2,PID(I),0,0,0,6096,0,6048,0,12144
1683,Sep-23,1,Government,2,PID(I),0,1707,0,3745,0,6157,0,11609
713,Aug-23,20000001,Government Commercial,10000128,PID(K),0,2460,0,5692,0,3165,0,11317
713,Feb-24,20000001,Government Commercial,10000128,PID(K),0,7632,0,1890,0,1713,0,11235
1713,Nov-22,20000001,Government Commercial,10000160,DIRECT CLIENT,0,4721,0,0,0,6333,0,11054
713,Dec-23,20000001,Government Commercial,10000128,PID(K),0,6324,0,2022,0,2470,0,10816
1665,Aug-23,1,Government,2,PID(I),0,2304,0,4248,0,4248,0,10800
1683,Feb-24,1,Government,2,PID(I),0,3206,0,3991,0,3426,0,10623
1573,May-23,20000001,Government Commercial,10000132,PID(I),0,5735,0,3078,0,1767,0,10580
4416,Jan-23,1,Government,2,PID(I),0,5177,0,3788,0,1512,0,10477
10024918,Aug-23,1,Government,5,INF-KRY,0,5244,0,40,0,5184,0,10468
476,Aug-23,1,Government,5,INF-KRY,0,5232,0,5214,0,0,0,10446
10023158,Aug-23,1,Government,5,INF-KRY,0,0,0,5184,0,5184,0,10368
1689,Jun-23,20000001,Government Commercial,10000132,PID(I),0,3584,0,0,0,6645,0,10229
10000299,Feb-24,1,Government,10000164,SPL,0,3888,0,186,0,5824,0,9898
4926,Dec-22,1,Government,10000164,SPL,0,5076,0,4752,0,0,0,9828
10000299,Oct-23,1,Government,10000164,SPL,0,9736,0,0,0,45,0,9781
713,Jul-23,20000001,Government Commercial,10000128,PID(K),0,1572,0,2600,0,5543,0,9715
4927,Apr-22,1,Government,2,PID(I),0,1244,0,7710,0,720,0,9674
10012753,Mar-22,2,Commercial,13,ROP,0,0,0,0,0,9626,0,9626
10018535,Feb-22,2,Commercial,13,ROP,0,0,0,9354,0,0,0,9354
10018535,Jul-22,2,Commercial,13,ROP,0,0,0,9228,0,0,0,9228
1689,May-23,20000001,Government Commercial,10000132,PID(I),0,4137,0,80,0,5000,0,9217
10018535,May-22,2,Commercial,13,ROP,0,0,0,9131,0,0,0,9131
1683,Oct-23,1,Government,2,PID(I),0,366,0,5641,0,3088,0,9095
10018535,Jan-22,2,Commercial,13,ROP,0,0,0,9038,0,0,0,9038
4927,Aug-22,1,Government,2,PID(I),0,2392,0,2499,0,4130,0,9021
713,May-23,20000001,Government Commercial,10000128,PID(K),0,5788,0,1260,0,1942,0,8990
1689,May-22,20000001,Government Commercial,10000132,PID(I),0,4182,0,45,0,4722,0,8949
1689,Aug-23,20000001,Government Commercial,10000132,PID(I),0,4188,0,162,0,4478,0,8828
10018535,Jun-22,2,Commercial,13,ROP,0,0,0,8766,0,0,0,8766
2307,May-23,1,Government,10000164,SPL,0,3564,0,2376,0,2808,0,8748
10018535,Aug-22,2,Commercial,13,ROP,0,0,0,8732,0,0,0,8732
10019201,Aug-23,1,Government,5,INF-KRY,0,0,0,5184,0,3456,0,8640
1689,Apr-23,20000001,Government Commercial,10000132,PID(I),0,5182,0,288,0,3066,0,8536
1683,Jul-23,1,Government,2,PID(I),0,269,0,5183,0,3000,0,8452
10000299,Dec-22,1,Government,10000164,SPL,0,6781,0,1584,0,0,0,8365
10018535,Mar-22,2,Commercial,13,ROP,0,0,0,8133,0,0,0,8133
10000994,Jan-23,2,Commercial,13,ROP,0,0,0,0,0,8066,0,8066
4926,Mar-22,1,Government,10000164,SPL,0,3544,0,4290,0,216,0,8050
713,Oct-23,20000001,Government Commercial,10000128,PID(K),0,5893,0,1508,0,600,0,8001
10000994,Jul-23,2,Commercial,13,ROP,0,0,0,0,0,7808,0,7808
4416,Apr-23,1,Government,2,PID(I),0,4318,0,2171,0,1166,0,7655
1689,Jul-22,20000001,Government Commercial,10000132,PID(I),0,3294,0,45,0,4265,0,7604
4912,Oct-23,2,Commercial,13,ROP,0,1656,0,2592,0,3312,0,7560
10020401,Aug-23,1,Government,5,INF-KRY,0,108,0,216,0,7236,0,7560
4559,Jul-22,2,Commercial,13,ROP,0,4068,0,0,0,3482,0,7550
10030842,Aug-23,2,Commercial,18,BUILDERS,0,960,0,2160,0,4320,0,7440
10000994,Dec-22,2,Commercial,13,ROP,0,0,0,0,0,7362,0,7362
496,Jul-23,1,Government,5,INF-KRY,0,382,0,1524,0,5448,0,7354
10020098,May-22,1,Government,10000164,SPL,0,1404,0,3024,0,2916,0,7344
1683,Jun-23,1,Government,2,PID(I),0,474,0,3104,0,3757,0,7335
10000994,Mar-22,2,Commercial,13,ROP,0,0,0,0,0,7307,0,7307
496,Aug-23,1,Government,5,INF-KRY,0,5904,0,728,0,648,0,7280
713,Oct-22,20000001,Government Commercial,10000128,PID(K),0,3360,0,1518,0,2342,0,7220
10000994,Nov-23,2,Commercial,13,ROP,0,0,0,0,0,7188,0,7188
1689,Sep-22,20000001,Government Commercial,10000132,PID(I),0,2382,0,69,0,4712,0,7163
713,May-22,20000001,Government Commercial,10000128,PID(K),0,4144,0,934,0,2038,0,7116
4912,Aug-23,2,Commercial,13,ROP,0,1152,0,1944,0,3948,0,7044
10000994,Sep-23,2,Commercial,13,ROP,0,0,0,0,0,7040,0,7040
1744,Aug-22,1,Government,2,PID(I),0,2682,0,4056,0,281,0,7019
10000994,Jun-22,2,Commercial,13,ROP,0,0,0,0,0,7005,0,7005
10000994,Dec-23,2,Commercial,13,ROP,0,0,0,0,0,6984,0,6984
713,Jan-23,20000001,Government Commercial,10000128,PID(K),0,4084,0,1116,0,1680,0,6880
713,Nov-23,20000001,Government Commercial,10000128,PID(K),0,5904,0,891,0,0,0,6795
1689,Apr-22,20000001,Government Commercial,10000132,PID(I),0,4058,0,40,0,2674,0,6772
4416,Jan-22,1,Government,2,PID(I),0,2984,0,2583,0,1200,0,6767
1665,Aug-22,1,Government,2,PID(I),0,1128,0,3152,0,2485,0,6765
1689,Jun-22,20000001,Government Commercial,10000132,PID(I),0,3846,0,0,0,2900,0,6746
4605,Dec-23,2,Commercial,13,ROP,0,2046,0,2376,0,2304,0,6726
